<UNK> 1.0	SPN
විමසුවත් 1.0	w i m @ s u w a t^
විමසුවහොත් 1.0	w i m @ s u w @ h o t^
විමසුවා 1.0	w i m @ s u w a:
විමසුවේ 1.0	w i m @ s u w e:
විමසූ 1.0	w i m @ s u:
විමසූහ 1.0	w i m @ s u: h @
විමා 1.0	w i m a:
විමාන 1.0	w i m a: n @
විමානයකට 1.0	w i m a: n @ y @ k @ t @
විමානයෙහි 1.0	w i m a: n @ y e h i
විමානයේ 1.0	w i m a: n @ y e:
විමානේ 1.0	w i m a: n e:
විමි 1.0	w i m i
විමුක්ති 1.0	w i m u k t^ i
විමුක්තිකාමී 1.0	w i m u k t^ i k a: m i:
විමුක්තිගේ 1.0	w i m u k t^ i g e:
විමුක්තිදායකයකු 1.0	w i m u k t^ i d^ a: y @ k @ y @ k u
විමුක්තිය 1.0	w i m u k t^ i y @
විමුක්තියක් 1.0	w i m u k t^ i y a k
විමුක්තියකි 1.0	w i m u k t^ i y @ k i
විමුක්තියට 1.0	w i m u k t^ i y @ t @
විමුක්තියයි 1.0	w i m u k t^ i y a y i
විමුත්තියයි 1.0	w i m u t^ t^ i y a y i
විමුත්තියේදී 1.0	w i m u t^ t^ i y e: d^ i:
විය 1.0	w i y @
වියට 1.0	w i y @ t @
වියට්කොං 1.0	w i y a t k o x
වියට්නාමය 1.0	w i y a t n a: m @ y @
වියට්නාමයට 1.0	w i y a t n a: m @ y @ t @
වියට්නාමයේ 1.0	w i y a t n a: m @ y e:
වියට්නාම් 1.0	w i y a t n a: m
වියට්නාම්වල 1.0	w i y a t n a: m w @ l @
වියතක් 1.0	w i y @ t^ a k
වියත් 1.0	w i y a t^
වියතුන් 1.0	w i y @ t^ u n
වියදම 1.0	w i y @ d^ @ m @
වියදමක් 1.0	w i y @ d^ @ m a k
වියදමකින් 1.0	w i y @ d^ @ m @ k i n
වියදමට 1.0	w i y @ d^ @ m @ t @
වියදමත් 1.0	w i y @ d^ @ m a t^
වියදම් 1.0	w i y @ d^ a m
වියදම්වලට 1.0	w i y @ d^ a m w @ l @ t @
වියදම්වලින් 1.0	w i y @ d^ a m w @ l i n
වියදමින් 1.0	w i y @ d^ @ m i n
වියදමෙන් 1.0	w i y @ d^ @ m e n
වියදමෙනි 1.0	w i y @ d^ @ m e n i
වියනක් 1.0	w i y @ n a k
වියනවා 1.0	w i y @ n @ w a:
වියන් 1.0	w i y a n
වියනෙන් 1.0	w i y @ n e n
වියනේ 1.0	w i y @ n e:
වියපත් 1.0	w i y @ p a t^
වියපර 1.0	w i y @ p @ r @
වියමන 1.0	w i y @ m @ n @
වියයුතු 1.0	w i y @ y u t^ u
වියරු 1.0	w i y @ r u
වියරුව 1.0	w i y @ r u w @
වියලද්දී 1.0	w i y @ l a d^ d^ i:
වියලා 1.0	w i y @ l a:
වියලි 1.0	w i y @ l i
වියවුල් 1.0	w i y @ w u l
වියවුල්වලට 1.0	w i y @ w u l w @ l @ t @
වියස්තාවේ 1.0	w i y a s t^ a: w e:
වියහියදම් 1.0	w i y @ h i y @ d^ a m
වියළා 1.0	w i y @ l a:
වියළි 1.0	w i y @ l i
වියානි 1.0	w i y a: n i
වියුක්ත 1.0	w i y u k t^ @
වියේ 1.0	w i y e:
වියෝ 1.0	w i y o:
වියෝව 1.0	w i y o: w @
විර 1.0	w i r @
විරල 1.0	w i r @ l @
විරලයි 1.0	w i r @ l a y i
විරසක 1.0	w i r @ s @ k @
විරහිත 1.0	w i r @ h i t^ @
විර්යයකිනුයි 1.0	w i r y @ y @ k i n u y i
විර්යයෙන් 1.0	w i r y @ y e n
විරාගයට 1.0	w i r a: g @ y @ t @
විරාගී 1.0	w i r a: g i:
විරාජ් 1.0	w i r a: j
විරාතු 1.0	w i r a: t^ u
විරාම 1.0	w i r a: m @
විරාමය 1.0	w i r a: m @ y @
විරාමයක් 1.0	w i r a: m @ y a k
විරාසනයෙන් 1.0	w i r a: s @ n @ y e n
විරුදය 1.0	w i r u d^ @ y @
විරුද්ධ 1.0	w i r u d^ d^ @
විරුද්ධත්වය 1.0	w i r u d^ d^ a t^ w @ y @
විරුද්ධතාව 1.0	w i r u d^ d^ @ t^ a: w @
විරුද්ධතාවය 1.0	w i r u d^ d^ @ t^ a: w @ y @
විරුද්ධයි 1.0	w i r u d^ d^ a y i
විරුද්ධවයි 1.0	w i r u d^ d^ @ w a y i
විරුද්ධවාදිකම් 1.0	w i r u d^ d^ @ w a: d^ i k a m
විරුද්ධවාදින් 1.0	w i r u d^ d^ @ w a: d^ i n
විරුද්ධවාදියා 1.0	w i r u d^ d^ @ w a: d^ i y a:
විරුදාවලි 1.0	w i r u d^ a: w @ l i
විරුදාවලිය 1.0	w i r u d^ a: w @ l i y @
විරුල් 1.0	w i r u l
විරුවන් 1.0	w i r u w a n
විරුවන්ට 1.0	w i r u w a n t @
විරුවෙක් 1.0	w i r u w e k
විරූ 1.0	w i r u:
විරූපි 1.0	w i r u: p i
විරූපී 1.0	w i r u: p i:
විරොදයක් 1.0	w i r o d^ @ y a k
විරෝගෙන 1.0	w i r o: g e n @
විරෝදින් 1.0	w i r o: d^ i n
විරෝදින්ට 1.0	w i r o: d^ i n t @
විරෝදීන් 1.0	w i r o: d^ i: n
විරෝධතා 1.0	w i r o: d^ @ t^ a:
විරෝධතාකරුවන් 1.0	w i r o: d^ @ t^ a: k a r u w a n
විරෝධතාව 1.0	w i r o: d^ @ t^ a: w @
විරෝධතාවක් 1.0	w i r o: d^ @ t^ a: w a k
විරෝධතාවන් 1.0	w i r o: d^ @ t^ a: w a n
විරෝධතාවය 1.0	w i r o: d^ @ t^ a: w @ y @
විරෝධතාවයට 1.0	w i r o: d^ @ t^ a: w @ y @ t @
විරෝධතාවාදීන් 1.0	w i r o: d^ @ t^ a: w a: d^ i: n
විරෝධය 1.0	w i r o: d^ @ y @
විරෝධයක් 1.0	w i r o: d^ @ y a k
විරෝධයේ 1.0	w i r o: d^ @ y e:
විරෝධි 1.0	w i r o: d^ i
විරෝධී 1.0	w i r o: d^ i:
විරෝධීන් 1.0	w i r o: d^ i: n
විරෝධීයි 1.0	w i r o: d^ i: y i
විල 1.0	w i l @
විලංගුවේ 1.0	w i l a x g u w e:
විලක 1.0	w i l @ k @
විලක් 1.0	w i l a k
විලට 1.0	w i l @ t @
විලයන 1.0	w i l @ y @ n @
විලවුන් 1.0	w i l @ w u n
විලස 1.0	w i l @ s @
විලසයි 1.0	w i l @ s a y i
විලසිනි 1.0	w i l @ s i n i
විල් 1.0	w i l
විල්ගම්මුල 1.0	w i l g a m m u l @
විල්පත්තු 1.0	w i l p a t^ t^ u
විල්පත්තුව 1.0	w i l p a t^ t^ u w @
විල්පත්තුවේ 1.0	w i l p a t^ t^ u w e:
විල්පිට 1.0	w i l p i t @
විල්ලූ 1.0	w i l l u:
විල්ලූවට 1.0	w i l l u: w @ t @
විල්ව 1.0	w i l w @
විල්සන් 1.0	w i l s a n
විලාප 1.0	w i l a: p @
විලාපය 1.0	w i l a: p @ y @
විලාපවලින් 1.0	w i l a: p @ w @ l i n
විලාශය 1.0	w i l a: s^ @ y @
විලාශයත් 1.0	w i l a: s^ @ y a t^
විලාශයයි 1.0	w i l a: s^ @ y a y i
විලාශයෙන් 1.0	w i l a: s^ @ y e n
විලාසය 1.0	w i l a: s @ y @
විලාසයක් 1.0	w i l a: s @ y a k
විලාසයයි 1.0	w i l a: s @ y a y i
විලාසිතා 1.0	w i l a: s i t^ a:
විලාසිතාවක් 1.0	w i l a: s i t^ a: w a k
විලාසිතාවකි 1.0	w i l a: s i t^ a: w @ k i
විලාසිනි 1.0	w i l a: s i n i
විලි 1.0	w i l i
විලියම් 1.0	w i l i y a m
විලියම්ස් 1.0	w i l i y a m s
විලියර්ස් 1.0	w i l i y a r s
විලිස්සාගෙන 1.0	w i l i s s a: g e n @
විලීගේ 1.0	w i l i: g e:
විලෙන් 1.0	w i l e n
විලේ 1.0	w i l e:
විලෝකිතේ 1.0	w i l o: k i t^ e:
විලෝපනයන් 1.0	w i l o: p @ n @ y a n
විවර 1.0	w i w @ r @
විවරණ 1.0	w i w @ r @ n @
විවරණය 1.0	w i w @ r @ n @ y @
විවරණයක් 1.0	w i w @ r @ n @ y a k
විවරණයන් 1.0	w i w @ r @ n @ y a n
විවරණයෙන් 1.0	w i w @ r @ n @ y e n
විවරන 1.0	w i w @ r @ n @
විවරය 1.0	w i w @ r @ y @
විවරයකින් 1.0	w i w @ r @ y @ k i n
විවරවල 1.0	w i w @ r @ w @ l @
විවරවේ 1.0	w i w @ r @ w e:
විවරානි 1.0	w i w @ r a: n i
විව්‍රතවයි 1.0	w i w r @ t^ @ w a y i
විවාද 1.0	w i w a: d^ @
විවාදය 1.0	w i w a: d^ @ y @
විවාදයකට 1.0	w i w a: d^ @ y @ k @ t @
විවාදයක් 1.0	w i w a: d^ @ y a k
විවාදයකින් 1.0	w i w a: d^ @ y @ k i n
විවාදයට 1.0	w i w a: d^ @ y @ t @
විවාදයේ 1.0	w i w a: d^ @ y e:
විවාදවල 1.0	w i w a: d^ @ w @ l @
විවාදවලට 1.0	w i w a: d^ @ w @ l @ t @
විවාදවලින් 1.0	w i w a: d^ @ w @ l i n
විවාදාත්මක 1.0	w i w a: d^ a: t^ m @ k @
විවාදාදියට 1.0	w i w a: d^ a: d^ i y @ t @
විවාදාපන්න 1.0	w i w a: d^ a: p a n n @
විවාහ 1.0	w i w a: h @
විවාහක 1.0	w i w a: h @ k @
විවාහකඅවිවාහක 1.0	w i w a: h @ k @ a w i w a: h @ k @
විවාහය 1.0	w i w a: h @ y @
විවාහයක 1.0	w i w a: h @ y @ k @
විවාහයකට 1.0	w i w a: h @ y @ k @ t @
විවාහයක් 1.0	w i w a: h @ y a k
විවාහයත් 1.0	w i w a: h @ y a t^
විවාහයෙන් 1.0	w i w a: h @ y e n
විවාහයේ 1.0	w i w a: h @ y e:
විවාහවලට 1.0	w i w a: h @ w @ l @ t @
විවාහවලින් 1.0	w i w a: h @ w @ l i n
විවාහවෙලා 1.0	w i w a: h @ w e l a:
විවි 1.0	w i w i
විවිත්‍ර 1.0	w i w i t^ t^ r @
විවිධ 1.0	w i w i d^ @
විවිධත්ව 1.0	w i w i d^ a t^ w @
විවිධත්වය 1.0	w i w i d^ a t^ w @ y @
විවිධත්වයක් 1.0	w i w i d^ a t^ w @ y a k
විවිධත්වයට 1.0	w i w i d^ a t^ w @ y @ t @
විවිධාකරයෙන් 1.0	w i w i d^ a: k @ r @ y e n
විවිධාකරයේ 1.0	w i w i d^ a: k @ r @ y e:
විවිධාකාර 1.0	w i w i d^ a: k a: r @
විවිධාකාරයෙන් 1.0	w i w i d^ a: k a: r @ y e n
විවිධාකාරයේ 1.0	w i w i d^ a: k a: r @ y e:
විවිය 1.0	w i w i y @
විවිර 1.0	w i w i r @
විවෘත 1.0	w i w r u t^ @
විවෘතයි 1.0	w i w r u t^ a y i
විවෘත්තයි 1.0	w i w r u t^ t^ a y i
විවේක 1.0	w i w e: k @
විවේකය 1.0	w i w e: k @ y @
විවේකයක් 1.0	w i w e: k @ y a k
විවේකයත් 1.0	w i w e: k @ y a t^
විවේකයයි 1.0	w i w e: k @ y a y i
විවේකාගාරය 1.0	w i w e: k a: g a: r @ y @
විවේකී 1.0	w i w e: k i:
විවේචන 1.0	w i w e: c^ @ n @
විවේචනය 1.0	w i w e: c^ @ n @ y @
විවේචනයක් 1.0	w i w e: c^ @ n @ y a k
විවේචනයකි 1.0	w i w e: c^ @ n @ y @ k i
විවේචනයට 1.0	w i w e: c^ @ n @ y @ t @
විවේචනයන්ට 1.0	w i w e: c^ @ n @ y a n t @
විවේචනාත්මක 1.0	w i w e: c^ @ n a: t^ m @ k @
විශ 1.0	w i s^ @
විශමලිංගිකයන්ටත් 1.0	w i s^ @ m @ l i x g i k @ y a n t a t^
විශයන්ටයි 1.0	w i s^ @ y a n t a y i
විශයෙහි 1.0	w i s^ @ y e h i
විශ් 1.0	w i s^
විශ්ම 1.0	w i s^ m @
විශ්මකර්මයෙකි 1.0	w i s^ m @ k a r m @ y e k i
විශ්මයජනකයි 1.0	w i s^ m @ y @ j @ n @ k a y i
විශ්මයට 1.0	w i s^ m @ y @ t @
විශ්මිත 1.0	w i s^ m i t^ @
විශ්ලේශනයට 1.0	w i s^ l e: s^ @ n @ y @ t @
විශ්ලේෂණ 1.0	w i s^ l e: s^ @ n @
විශ්ලේෂණය 1.0	w i s^ l e: s^ @ n @ y @
විශ්ලේෂණයක් 1.0	w i s^ l e: s^ @ n @ y a k
විශ්ලේෂණයකි 1.0	w i s^ l e: s^ @ n @ y @ k i
විශ්ලේෂණයෙනි 1.0	w i s^ l e: s^ @ n @ y e n i
විශ්ලේෂණයේ 1.0	w i s^ l e: s^ @ n @ y e:
විශ්ලේෂණාත්මක 1.0	w i s^ l e: s^ @ n a: t^ m @ k @
විශ්ව 1.0	w i s^ w @
විශ්වකර්ම 1.0	w i s^ w @ k a r m @
විශ්වකෝෂයක් 1.0	w i s^ w @ k o: s^ @ y a k
විශ්වගේ 1.0	w i s^ w @ g e:
විශ්වය 1.0	w i s^ w @ y @
විශ්වයටම 1.0	w i s^ w @ y @ t @ m @
විශ්වයම 1.0	w i s^ w @ y @ m @
විශ්වයේ 1.0	w i s^ w @ y e:
විශ්වවිද්‍යාල 1.0	w i s^ w @ w i d^ d^ y a: l @
විශ්වවිද්‍යාලයක 1.0	w i s^ w @ w i d^ d^ y a: l @ y @ k @
විශ්වවිද්‍යාලයකට 1.0	w i s^ w @ w i d^ d^ y a: l @ y @ k @ t @
විශ්වවිද්‍යාලයක් 1.0	w i s^ w @ w i d^ d^ y a: l @ y a k
විශ්වවිද්‍යාලයට 1.0	w i s^ w @ w i d^ d^ y a: l @ y @ t @
විශ්වවිද්‍යාලයන්හි 1.0	w i s^ w @ w i d^ d^ y a: l @ y a n h i
විශ්වවිද්‍යාලයෙන් 1.0	w i s^ w @ w i d^ d^ y a: l @ y e n
විශ්වවිද්‍යාලයෙහි 1.0	w i s^ w @ w i d^ d^ y a: l @ y e h i
විශ්වවිද්‍යාලයේ 1.0	w i s^ w @ w i d^ d^ y a: l @ y e:
විශ්වවිද්‍යාලවල 1.0	w i s^ w @ w i d^ d^ y a: l @ w @ l @
විශ්වවිද්‍යාලෙ 1.0	w i s^ w @ w i d^ d^ y a: l e
විශ්වවිද්‍යාවලින් 1.0	w i s^ w @ w i d^ d^ y a: w @ l i n
විශ්වවේදයට 1.0	w i s^ w @ w e: d^ @ y @ t @
විශ්වවේදීන් 1.0	w i s^ w @ w e: d^ i: n
විශ්වසනීය 1.0	w i s^ w @ s @ n i: y @
විශ්වාන්තර 1.0	w i s^ w a: n t^ @ r @
විශ්වාශ 1.0	w i s^ w a: s^ @
විශ්වාස 1.0	w i s^ w a: s @
විශ්වාසදායක 1.0	w i s^ w a: s @ d^ a: y @ k @
විශ්වාසනීයත්වයක් 1.0	w i s^ w a: s @ n i: y a t^ w @ y a k
විශ්වාසය 1.0	w i s^ w a: s @ y @
විශ්වාසයක් 1.0	w i s^ w a: s @ y a k
විශ්වාසයකි 1.0	w i s^ w a: s @ y @ k i
විශ්වාසයත් 1.0	w i s^ w a: s @ y a t^
විශ්වාසයන් 1.0	w i s^ w a: s @ y a n
විශ්වාසයන්ට 1.0	w i s^ w a: s @ y a n t @
විශ්වාසයන්හි 1.0	w i s^ w a: s @ y a n h i
විශ්වාසයයි 1.0	w i s^ w a: s @ y a y i
විශ්වාසයි 1.0	w i s^ w a: s a y i
විශ්වාසයෙන් 1.0	w i s^ w a: s @ y e n
විශ්වාසවන්ත 1.0	w i s^ w a: s @ w a n t^ @
විශ්වාසවලට 1.0	w i s^ w a: s @ w @ l @ t @
විශ්වාසී 1.0	w i s^ w a: s i:
විශ්වාසෙකට 1.0	w i s^ w a: s e k @ t @
විශ්වාසේ 1.0	w i s^ w a: s e:
විශ්වීය 1.0	w i s^ w i: y @
විශ්‍රාම 1.0	w i s^ s^ r a: m @
විශ්‍රාමශාලා 1.0	w i s^ s^ r a: m @ s^ a: l a:
විශ්‍රාමික 1.0	w i s^ s^ r a: m i k @
විශ්‍රාමිකයා 1.0	w i s^ s^ r a: m i k @ y a:
විශාඛා 1.0	w i s^ a: k a:
විශාදය 1.0	w i s^ a: d^ @ y @
විශාරද 1.0	w i s^ a: r @ d^ @
විශාල 1.0	w i s^ a: l @
විශාලත 1.0	w i s^ a: l @ t^ @
විශාලතම 1.0	w i s^ a: l @ t^ @ m @
විශාලත්වය 1.0	w i s^ a: l a t^ w @ y @
විශාලම 1.0	w i s^ a: l @ m @
විශාලයි 1.0	w i s^ a: l a y i
විශාලා 1.0	w i s^ a: l a:
විශිෂ්ට 1.0	w i s^ i s^ t @
විශිෂ්ටතම 1.0	w i s^ i s^ t @ t^ @ m @
විශිෂ්ටත්වය 1.0	w i s^ i s^ t a t^ w @ y @
විශිෂ්ටත්වයට 1.0	w i s^ i s^ t a t^ w @ y @ t @
විශිෂ්ටයන් 1.0	w i s^ i s^ t @ y a n
විශිෂ්ටයි 1.0	w i s^ i s^ t a y i
විශිෂ්ටයෝ 1.0	w i s^ i s^ t @ y o:
විශිෂ්ඨ 1.0	w i s^ i s^ t @
විශිෂ්ඨතම 1.0	w i s^ i s^ t @ t^ @ m @
විශිෂ්ඨතා 1.0	w i s^ i s^ t @ t^ a:
විශිෂ්ඨයි 1.0	w i s^ i s^ t a y i
විශුද්දිමාර්ගයට 1.0	w i s^ u d^ d^ i m a: r g @ y @ t @
විශුද්ධි 1.0	w i s^ u d^ d^ i
විශෙෂ 1.0	w i s^ e s^ @
විශෙෂයක් 1.0	w i s^ e s^ @ y a k
විශේෂ 1.0	w i s^ e: s^ @
විශේෂක් 1.0	w i s^ e: s^ a k
විශේෂකොට 1.0	w i s^ e: s^ @ k o t @
විශේෂණ 1.0	w i s^ e: s^ @ n @
විශේෂණයකි 1.0	w i s^ e: s^ @ n @ y @ k i
විශේෂතම 1.0	w i s^ e: s^ @ t^ @ m @
විශේෂත්වය 1.0	w i s^ e: s^ a t^ w @ y @
විශේෂත්වයක් 1.0	w i s^ e: s^ a t^ w @ y a k
විශේෂත්වයකි 1.0	w i s^ e: s^ a t^ w @ y @ k i
විශේෂත්වයත් 1.0	w i s^ e: s^ a t^ w @ y a t^
විශේෂත්වයයි 1.0	w i s^ e: s^ a t^ w @ y a y i
විශේෂතා 1.0	w i s^ e: s^ @ t^ a:
විශේෂතාවයකි 1.0	w i s^ e: s^ @ t^ a: w @ y @ k i
විශේෂම 1.0	w i s^ e: s^ @ m @
විශේෂය 1.0	w i s^ e: s^ @ y @
විශේෂයක් 1.0	w i s^ e: s^ @ y a k
විශේෂයකි 1.0	w i s^ e: s^ @ y @ k i
විශේෂයකිනි 1.0	w i s^ e: s^ @ y @ k i n i
විශේෂයකුයි 1.0	w i s^ e: s^ @ y @ k u y i
විශේෂයන්හි 1.0	w i s^ e: s^ @ y a n h i
විශේෂයි 1.0	w i s^ e: s^ a y i
විශේෂයෙන් 1.0	w i s^ e: s^ @ y e n
විශේෂාංගයක් 1.0	w i s^ e: s^ a: x g @ y a k
විශේෂිත 1.0	w i s^ e: s^ i t^ @
විශේෂිතයි 1.0	w i s^ e: s^ i t^ a y i
විෂ 1.0	w i s^ @
විෂගෝර 1.0	w i s^ @ g o: r @
විෂබීජ 1.0	w i s^ @ b i: j @
විෂම 1.0	w i s^ @ m @
විෂමතාවක් 1.0	w i s^ @ m @ t^ a: w a k
විෂමතාවය 1.0	w i s^ @ m @ t^ a: w @ y @
විෂමතාවයටත් 1.0	w i s^ @ m @ t^ a: w @ y @ t a t^
විෂමතාවලට 1.0	w i s^ @ m @ t^ a: w @ l @ t @
විෂමාචාර 1.0	w i s^ @ m a: c^ a: r @
විෂය 1.0	w i s^ @ y @
විෂයක 1.0	w i s^ @ y @ k @
විෂයක් 1.0	w i s^ @ y a k
විෂයකින් 1.0	w i s^ @ y @ k i n
විෂයට 1.0	w i s^ @ y @ t @
විෂයන් 1.0	w i s^ @ y a n
විෂයන්ට 1.0	w i s^ @ y a n t @
විෂයන්වලට 1.0	w i s^ @ y a n w @ l @ t @
විෂයමූල 1.0	w i s^ @ y @ m u: l @
විෂයයක් 1.0	w i s^ @ y @ y a k
විෂයයකි 1.0	w i s^ @ y @ y @ k i
විෂයයට 1.0	w i s^ @ y @ y @ t @
විෂයයන් 1.0	w i s^ @ y @ y a n
විෂයයයක් 1.0	w i s^ @ y @ y @ y a k
විෂයයෙහි 1.0	w i s^ @ y @ y e h i
විෂයීත්වය 1.0	w i s^ @ y i: t^ w @ y @
විෂයෙහි 1.0	w i s^ @ y e h i
විෂයේ 1.0	w i s^ @ y e:
විෂ්ණු 1.0	w i s^ n u
විෂිශ්ඨ 1.0	w i s^ i s^ t @
විෂුවල්වලට 1.0	w i s^ u w a l w @ l @ t @
විස 1.0	w i s @
විසංයෝජනය 1.0	w i s a x y o: j @ n @ y @
විසංවාදය 1.0	w i s a x w a: d^ @ y @
විසකුරු 1.0	w i s @ k u r u
විසදන්න 1.0	w i s @ d^ a n n @
විසදා 1.0	w i s @ d^ a:
විසදීමට 1.0	w i s @ d^ i: m @ t @
විසදුනා 1.0	w i s @ d^ u n a:
විසදුම 1.0	w i s @ d^ u m @
විසදුමකට 1.0	w i s @ d^ u m @ k @ t @
විසදුමක් 1.0	w i s @ d^ u m a k
විසදුම් 1.0	w i s @ d^ u m
විසදෙන්නෙ 1.0	w i s @ d^ e n n e
විසදේ 1.0	w i s @ d^ e:
විසප්පු 1.0	w i s a p p u
විසබීජෙ 1.0	w i s @ b i: j e
විසම්මුතික 1.0	w i s a m m u t^ i k @
විසම්මුතිට 1.0	w i s a m m u t^ i t @
විසල් 1.0	w i s a l
විසල්පුර 1.0	w i s a l p u r @
විස්කෝතු 1.0	w i s k o: t^ u
විස්කෝතුව 1.0	w i s k o: t^ u w @
විස්ඩන් 1.0	w i s d a n
විස්තර 1.0	w i s t^ @ r @
විස්තරය 1.0	w i s t^ @ r @ y @
විස්තරයක් 1.0	w i s t^ @ r @ y a k
විස්තරයකි 1.0	w i s t^ @ r @ y @ k i
විස්තරයකින් 1.0	w i s t^ @ r @ y @ k i n
විස්තරයට 1.0	w i s t^ @ r @ y @ t @
විස්තරයත් 1.0	w i s t^ @ r @ y a t^
විස්තරයන් 1.0	w i s t^ @ r @ y a n
විස්තරයෙහි 1.0	w i s t^ @ r @ y e h i
විස්තරයේ 1.0	w i s t^ @ r @ y e:
විස්තරාත්මක 1.0	w i s t^ @ r a: t^ m @ k @
විස්තරෙන් 1.0	w i s t^ @ r e n
විස්තරේ 1.0	w i s t^ @ r e:
විස්තරේට 1.0	w i s t^ @ r e: t @
විස්තෘත 1.0	w i s t^ r u t^ @
විස්මය 1.0	w i s m @ y @
විස්මයජනක 1.0	w i s m @ y @ j @ n @ k @
විස්මයට 1.0	w i s m @ y @ t @
විස්මයෙන් 1.0	w i s m @ y e n
විස්මිත 1.0	w i s m i t^ @
විස්ලර් 1.0	w i s l @ r
විස්වාශවන්තයින් 1.0	w i s w a: s^ @ w a n t^ @ y i n
විස්වාස 1.0	w i s w a: s @
විස්වාසයක් 1.0	w i s w a: s @ y a k
විස්ස 1.0	w i s s @
විස්සකට 1.0	w i s s @ k @ t @
විස්සක් 1.0	w i s s a k
විස්සට 1.0	w i s s @ t @
විස්සයි 1.0	w i s s a y i
විස්සෝප 1.0	w i s s o: p @
විසාල 1.0	w i s a: l @
විසාලයි 1.0	w i s a: l a y i
විසි 1.0	w i s i
විසිකර 1.0	w i s i k @ r @
විසිකරන 1.0	w i s i k @ r @ n @
විසිකරල 1.0	w i s i k @ r @ l @
විසික් 1.0	w i s i k
විසිතුරු 1.0	w i s i t^ u r u
විසිදෙකකට 1.0	w i s i d^ e k @ k @ t @
විසින් 1.0	w i s i n
විසිනි 1.0	w i s i n i
විසිනුත් 1.0	w i s i n u t^
විසිනුයි 1.0	w i s i n u y i
විසිපහක් 1.0	w i s i p @ h a k
විසිය 1.0	w i s i y @
විසිර 1.0	w i s i r @
විසිරයාමේ 1.0	w i s i r @ y a: m e:
විසිරුනා 1.0	w i s i r u n a:
විසිරුනු 1.0	w i s i r u n u
විසිරෙද්දී 1.0	w i s i r e d^ d^ i:
විසිරෙන 1.0	w i s i r e n @
විසිරෙනවා 1.0	w i s i r e n @ w a:
විසිරෙන්න 1.0	w i s i r e n n @
විසිරෙන්නෙ 1.0	w i s i r e n n e
විසිල් 1.0	w i s i l
විසිවන 1.0	w i s i w @ n @
විසිවස 1.0	w i s i w @ s @
විසිවිණි 1.0	w i s i w i n i
විසිවෙද්දී 1.0	w i s i w e d^ d^ i:
විසිවෙනි 1.0	w i s i w e n i
විසිහතරක් 1.0	w i s i h @ t^ @ r a k
විසිහය 1.0	w i s i h @ y @
විසී 1.0	w i s i:
විසීම 1.0	w i s i: m @
විසීමට 1.0	w i s i: m @ t @
විසීමෙන් 1.0	w i s i: m e n
විසු 1.0	w i s u
විසුණු 1.0	w i s u n u
විසුද්ධ 1.0	w i s u d^ d^ @
විසුද්ධි 1.0	w i s u d^ d^ i
විසුද්ධිය 1.0	w i s u d^ d^ i y @
විසුමක් 1.0	w i s u m a k
විසුරුණු 1.0	w i s u r u n u
විසුරුවන්නෙ 1.0	w i s u r u w a n n e
විසුරුවයි 1.0	w i s u r u w a y i
විසුරුවා 1.0	w i s u r u w a:
විසුලු 1.0	w i s u l u
විසුලූ 1.0	w i s u l u:
විසුවියස් 1.0	w i s u w i y a s
විසුවේ 1.0	w i s u w e:
විසුවෝ 1.0	w i s u w o:
විසුළු 1.0	w i s u l u
විසූ 1.0	w i s u:
විසූහ 1.0	w i s u: h @
විහග 1.0	w i h @ g @
විහරණ 1.0	w i h @ r @ n @
විහරණය 1.0	w i h @ r @ n @ y @
විහරණයක් 1.0	w i h @ r @ n @ y a k
විහරණයයි 1.0	w i h @ r @ n @ y a y i
විහරණයෙන් 1.0	w i h @ r @ n @ y e n
විහරණයෙහි 1.0	w i h @ r @ n @ y e h i
විහරති 1.0	w i h @ r @ t^ i
විහාකරන 1.0	w i h a: k @ r @ n @
විහාර 1.0	w i h a: r @
විහාරද්වයන් 1.0	w i h a: r a d^ w @ y a n
විහාරමහාදේවියගේ 1.0	w i h a: r @ m @ h a: d^ e: w i y @ g e:
විහාරය 1.0	w i h a: r @ y @
විහාරයක් 1.0	w i h a: r @ y a k
විහාරයකි 1.0	w i h a: r @ y @ k i
විහාරයට 1.0	w i h a: r @ y @ t @
විහාරයන් 1.0	w i h a: r @ y a n
විහාරයයි 1.0	w i h a: r @ y a y i
විහාරයෙහි 1.0	w i h a: r @ y e h i
විහාරයේ 1.0	w i h a: r @ y e:
විහාරවල 1.0	w i h a: r @ w @ l @
විහාරවාසී 1.0	w i h a: r @ w a: s i:
විහාරස්ථාන 1.0	w i h a: r a s t^ a: n @
විහාරස්ථානය 1.0	w i h a: r a s t^ a: n @ y @
විහාරස්ථානයක 1.0	w i h a: r a s t^ a: n @ y @ k @
විහාරස්ථානයක් 1.0	w i h a: r a s t^ a: n @ y a k
විහාරස්ථානයට 1.0	w i h a: r a s t^ a: n @ y @ t @
විහාරස්ථානයෙන් 1.0	w i h a: r a s t^ a: n @ y e n
විහාරස්ථානයෙහි 1.0	w i h a: r a s t^ a: n @ y e h i
විහාරස්ථානයේ 1.0	w i h a: r a s t^ a: n @ y e:
විහාරස්ථානවල 1.0	w i h a: r a s t^ a: n @ w @ l @
විහාරස්ථානවලට 1.0	w i h a: r a s t^ a: n @ w @ l @ t @
විහාරා 1.0	w i h a: r a:
විහාරාංග 1.0	w i h a: r a: x g @
විහාරාධිපති 1.0	w i h a: r a: d^ i p @ t^ i
